id,state,abbr,poverty,age
1,Alabama,AL,19.3,38.6
2,Alaska,AK,11.2,33.3
4,Arizona,AZ,18.2,36.9
5,Arkansas,AR,18.9,37.8
6,California,CA,16.4,36
8,Colorado,CO,12,36.3
9,Connecticut,CT,10.8,40.5
10,Delaware,DE,12.5,39.6
11,Washington D.C.,DC,17.7,33.8
12,Florida,FL,16.5,41.6
13,Georgia,GA,18.3,36.1
15,Hawaii,HI,11.4,38.1
16,Idaho,ID,14.8,35.9
17,Illinois,IL,14.4,37.5
18,Indiana,IN,15.2,37.4
19,Iowa,IA,12.2,38.2
20,Kansas,KS,13.6,36.2
21,Kentucky,KY,19.1,38.5
22,Louisiana,LA,19.8,36.1
23,Maine,ME,14.1,44.1
24,Maryland,MD,10.1,38.3
25,Massachusetts,MA,11.6,39.4
26,Michigan,MI,16.2,39.6
27,Minnesota,MN,11.5,37.8
28,Mississippi,MS,21.5,36.7
29,Missouri,MO,15.5,38.5
30,Montana,MT,15.4,39.6
31,Nebraska,NE,12.4,36.2
32,Nevada,NV,15.2,37.4
33,New Hampshire,NH,9.2,42.5
34,New Jersey,NJ,11.1,39.4
35,New Mexico,NM,21.3,37.2
36,New York,NY,15.9,38.2
37,North Carolina,NC,17.2,38.3
38,North Dakota,ND,11.5,35.1
39,Ohio,OH,15.8,39.4
40,Oklahoma,OK,16.6,36.2
41,Oregon,OR,16.6,39.3
42,Pennsylvania,PA,13.6,40.7
44,Rhode Island,RI,14.3,39.8
45,South Carolina,SC,18,38.8
46,South Dakota,SD,14.2,36.6
47,Tennessee,TN,18.3,38.6
48,Texas,TX,17.2,34.3
49,Utah,UT,11.7,30.5
50,Vermont,VT,12.2,42.8
51,Virginia,VA,11.8,37.7
53,Washington,WA,13.2,37.5
54,West Virginia,WV,18.3,41.9
55,Wisconsin,WI,13.2,39.2
56,Wyoming,WY,11.2,36.6
